City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,geraldton,-28.7667,114.6,35.23,36,0,5.66,AU,1675044071
265,kasongo,-4.45,26.6667,18.46,99,100,1.42,CD,1675044073
266,coahuayana,18.7333,-103.6833,22.3,86,0,1.13,MX,1675044073
267,hamilton,39.1834,-84.5333,5.99,93,100,5.14,US,1675043830
268,valdivia,-39.8142,-73.2459,15.03,96,13,0.55,CL,1675044077
269,nantucket,41.2835,-70.0995,9.03,91,100,5.04,US,1675044067
270,pangnirtung,66.1451,-65.7125,-31.44,76,100,0.58,CA,1675044080
271,camargo,27.6667,-105.1667,18.37,21,94,8.33,MX,1675044082
272,somerset,40.5668,-74.5496,9.35,73,100,0.89,US,1675044008
273,lipin bor,60.2622,37.9763,-3.45,93,100,5.4,RU,1675044084
274,morehead,37.2711,-87.1764,8.88,99,100,2.57,US,1675044085
275,catuday,16.2923,119.8062,24.61,67,32,3.66,PH,1675044086
276,itoman,26.1247,127.6694,16.01,48,75,6.69,JP,1675044088
277,stoke-on-trent,53.0042,-2.1854,6.96,67,100,5.36,GB,1675044089
278,westport,41.1415,-73.3579,9.36,77,100,3.58,US,1675044090
279,bilma,18.6853,12.9164,20.2,14,62,3.73,NE,1675044091
280,salinopolis,-0.6136,-47.3561,25.13,87,93,3.17,BR,1675044094
281,chato,-2.6378,31.7669,18.51,83,54,2.62,TZ,1675044098
282,hermsdorf,50.9,11.8667,-0.8,83,96,7.43,DE,1675044104
283,natal,-5.795,-35.2094,26.36,78,20,3.6,BR,1675044105
284,chara,56.9064,118.2631,-22.85,78,80,0.08,RU,1675044105
285,karratha,-20.7377,116.8463,32.89,39,65,1.42,AU,1675044105
286,mansa,29.9833,75.3833,12.02,95,93,5.27,IN,1675044105
287,porbandar,21.6422,69.6093,17.13,68,0,4.82,IN,1675044106
288,huallanca,-9.8993,-76.9417,8.39,90,100,0.79,PE,1675044106
289,chippewa falls,44.9369,-91.3929,-15.9,71,93,2.75,US,1675044107
290,cherskiy,68.75,161.3,-16.99,89,100,2.71,RU,1675044107
291,sinnar,13.5691,33.5672,23.83,29,96,4.3,SD,1675044080
292,gorontalo,0.5412,123.0595,27.47,80,100,1.13,ID,1675044107
293,caranavi,-15.8167,-67.55,16.53,99,100,0.69,BO,1675044108
294,kolokani,13.5728,-8.0339,16.22,11,22,3.57,ML,1675044108
295,aitape,-3.1374,142.3475,29.26,70,77,2.1,PG,1675044108
296,vinh long,10.25,105.9667,20.99,60,13,4.15,VN,1675044109
297,nelson bay,-32.7167,152.15,23.38,97,100,2.68,AU,1675044109
298,melo,-32.3667,-54.1833,19.74,91,0,5.45,UY,1675044109
299,ponta do sol,32.6667,-17.1,14.28,62,70,3.26,PT,1675044109
